name,datatype
gl-gen:amountItemType,xbrli:monetaryItemType
gl-gen:addressNameItemType,xbrli:stringItemType
gl-gen:addressDescriptionItemType,xbrli:stringItemType
gl-gen:locationIdentifierItemType,xbrli:stringItemType
gl-gen:addressPurposeItemType,xbrli:stringItemType
gl-gen:buildingNumberItemType,xbrli:stringItemType
gl-gen:streetItemType,xbrli:stringItemType
gl-gen:street2ItemType,xbrli:stringItemType
gl-gen:cityItemType,xbrli:stringItemType
gl-gen:stateOrProvinceItemType,xbrli:stringItemType
gl-gen:countryItemType,xbrli:stringItemType
gl-gen:zipOrPostalCodeItemType,xbrli:stringItemType
gl-gen:contactPrefixItemType,xbrli:stringItemType
gl-gen:contactLastNameItemType,xbrli:stringItemType
gl-gen:contactFirstNameItemType,xbrli:stringItemType
gl-gen:contactSuffixItemType,xbrli:stringItemType
gl-gen:contactAttentionLineType,xbrli:stringItemType
gl-gen:contactPositionRoleItemType,xbrli:stringItemType
gl-gen:contactTypeItemType,xbrli:stringItemType
gl-gen:accountingMethodItemType,xbrli:stringItemType
gl-gen:accountingMethodDescriptionItemType,xbrli:stringItemType
gl-gen:accountingMethodPurposeItemType,xbrli:stringItemType
gl-gen:accountingMethodPurposeDescriptionItemType,xbrli:stringItemType
gl-gen:accountingMethodStartDateItemType,xbrli:dateTimeItemType
gl-gen:accountingMethodEndDateItemType,xbrli:dateTimeItemType
